camera_id,vehicle_id
c002,0052
c004,0052
c003,0052
c001,0052
c005,0052
c002,0014
c001,0014
c003,0014
c005,0014
c004,0014
c029,0281
c035,0281
c032,0281
c033,0281
c030,0281
c031,0281
c034,0281
c016,0324
c017,0324
c016,0379
c021,0379
c025,0379
c020,0379
c023,0379
c019,0379
c024,0379
c018,0379
c027,0379
c017,0379
c022,0379
c026,0379
c011,0256
c014,0256
c012,0256
c010,0256
c013,0256
c011,0241
c015,0241
c013,0241
c012,0241
c030,0262
c034,0262
c031,0262
c032,0262
c033,0262
c004,0055
c003,0055
c001,0055
c005,0055
c002,0026
c003,0026
c004,0026
c001,0026
c005,0026
c020,0266
c018,0266
c019,0266
c017,0394
c010,0394
c033,0286
c030,0286
c032,0286
c003,0008
c002,0008
c001,0008
c004,0008
c005,0008
c022,0420
c028,0420
c024,0420
c021,0420
c018,0420
c026,0420
c025,0420
c027,0420
c020,0420
c019,0420
c023,0420
c025,0338
c026,0338
c017,0338
c020,0338
c023,0338
c022,0338
c016,0338
c018,0338
c021,0338
c019,0338
c024,0338
c005,0079
c004,0079
c002,0079
c025,0296
c022,0296
c024,0296
c023,0296
c026,0261
c024,0261
c019,0261
c025,0261
c023,0261
c027,0261
c021,0261
c022,0261
c020,0261
c033,0308
c035,0308
c034,0308
c032,0308
c017,0355
c016,0355
c010,0355
c022,0444
c025,0444
c026,0444
c036,0444
c033,0444
c035,0444
c028,0444
c027,0444
c034,0444
c023,0444
c029,0444
c021,0334
c018,0334
c027,0334
c020,0334
c023,0334
c026,0334
c028,0334
c019,0334
c024,0334
c029,0334
c022,0334
c025,0334
c030,0288
c034,0288
c033,0288
c032,0288
c031,0288
c030,0277
c031,0277
c032,0277
c032,0278
c031,0278
c030,0278
c029,0278
c033,0278
c026,0464
c027,0464
c028,0464
c002,0048
c003,0048
c001,0048
c005,0048
c034,0449
c026,0449
c025,0449
c028,0449
c033,0449
c027,0449
c036,0449
c029,0449
c035,0449
c029,0466
c026,0466
c028,0466
c027,0466
c031,0272
c039,0272
c038,0272
c035,0272
c030,0272
c036,0272
c033,0272
c032,0272
c029,0272
c034,0272
c037,0272
c016,0411
c017,0411
c010,0411
c017,0398
c036,0398
c025,0398
c028,0398
c029,0398
c035,0398
c021,0398
c016,0398
c019,0398
c024,0398
c033,0398
c027,0398
c018,0398
c020,0398
c023,0398
c022,0398
c034,0398
c026,0398
c001,0069
c004,0069
c002,0069
c003,0069
c005,0069
c022,0436
c026,0436
c036,0436
c035,0436
c028,0436
c029,0436
c024,0436
c033,0436
c034,0436
c025,0436
c027,0436
c023,0436
c020,0349
c026,0349
c016,0349
c021,0349
c024,0349
c019,0349
c018,0349
c022,0349
c023,0349
c025,0349
c017,0349
c024,0264
c026,0264
c023,0264
c021,0264
c019,0264
c020,0264
c016,0264
c018,0264
c025,0264
c029,0276
c031,0276
c032,0276
c030,0276
c003,0065
c001,0065
c004,0065
c005,0065
c019,0374
c023,0374
c024,0374
c020,0374
c025,0374
c022,0374
c027,0374
c021,0374
c018,0374
c017,0374
c026,0374
c016,0374
c028,0374
c010,0404
c017,0404
c016,0404
c003,0054
c001,0054
c004,0054
c038,0316
c036,0316
c037,0316
c040,0316
c039,0316
c021,0347
c024,0347
c022,0347
c025,0347
c026,0347
c016,0347
c020,0347
c018,0347
c019,0347
c023,0347
c017,0347
c001,0017
c005,0017
c004,0017
c002,0017
c003,0017
c033,0304
c035,0304
c016,0356
c017,0356
c010,0356
c017,0345
c018,0345
c023,0345
c019,0345
c016,0345
c022,0345
c020,0345
c025,0345
c021,0345
c026,0345
c013,0255
c010,0255
c012,0255
c014,0255
c011,0255
c019,0259
c020,0259
c021,0259
c018,0259
c040,0318
c038,0318
c036,0318
c039,0318
c037,0318
c019,0380
c022,0380
c016,0380
c017,0380
c021,0380
c018,0380
c020,0380
c025,0380
c023,0380
c024,0380
c027,0380
c026,0380
c022,0387
c026,0387
c016,0387
c023,0387
c021,0387
c017,0387
c020,0387
c025,0387
c019,0387
c027,0387
c018,0387
c034,0474
c028,0474
c029,0474
c033,0474
c036,0474
c027,0474
c035,0474
c036,0312
c038,0312
c040,0312
c039,0312
c033,0472
c035,0472
c036,0472
c034,0472
c028,0472
c029,0472
c003,0095
c005,0095
c040,0317
c037,0317
c036,0317
c038,0317
c020,0346
c023,0346
c018,0346
c016,0346
c017,0346
c022,0346
c021,0346
c019,0346
c030,0283
c034,0283
c032,0283
c031,0283
c033,0283
c023,0395
c022,0395
c017,0395
c025,0395
c021,0395
c026,0395
c019,0395
c010,0395
c020,0395
c027,0395
c028,0395
c018,0395
c016,0401
c017,0401
c018,0401
c019,0401
c004,0037
c005,0037
c003,0037
c001,0037
c002,0037
c027,0473
c028,0473
c003,0022
c001,0022
c004,0022
c005,0022
c002,0022
c032,0287
c033,0287
c030,0287
c034,0287
c031,0287
c019,0265
c025,0265
c020,0265
c023,0265
c021,0265
c018,0265
c024,0265
c026,0265
c022,0294
c023,0294
c024,0294
c025,0294
c013,0242
c011,0242
c010,0242
